move_name,move_id,Unnamed: 0,accuracy,damage_class,effect_chance,effect,power,pp,priority,short_effect,target,move_type,type_name,type_id
facade,263,262,100.0,physical,,"Power doubles if user is burned, paralyzed, or poisoned.",70.0,20.0,0,"Power doubles if user is burned, paralyzed, or poisoned.",selected-pokemon,normal,normal,19
nature-power,267,266,,status,,Uses a move which depends upon the terrain.,,20.0,0,Uses a move which depends upon the terrain.,selected-pokemon,normal,normal,19
helping-hand,270,269,,status,,Ally's next move inflicts half more damage.,,20.0,5,Ally's next move inflicts half more damage.,ally,normal,normal,19
ingrain,275,274,,status,,Prevents the user from leaving battle.  User regains 1/16 of its max HP every turn.,,20.0,0,Prevents the user from leaving battle.  User regains 1/16 of its max HP every turn.,user,grass,grass,6
knock-off,282,281,100.0,physical,,Target drops its held item.,65.0,20.0,0,Target drops its held item.,selected-pokemon,dark,dark,16
secret-power,290,289,100.0,physical,30.0,Has a 30% chance to inflict a status effect which depends upon the terrain.,70.0,20.0,0,Has a 30% chance to inflict a status effect which depends upon the terrain.,selected-pokemon,normal,normal,19
weather-ball,311,310,100.0,special,,"If there be weather, this move has doubled power and the weather's type.",50.0,10.0,0,"If there be weather, this move has doubled power and the weather's type.",selected-pokemon,normal,normal,19
grass-whistle,320,319,55.0,status,,Puts the target to sleep.,,15.0,0,Puts the target to sleep.,selected-pokemon,grass,grass,6
bullet-seed,331,330,100.0,physical,,Hits 2-5 times in one turn.,25.0,30.0,0,Hits 2-5 times in one turn.,selected-pokemon,grass,grass,6
magical-leaf,345,344,,special,,Hits Pokémon under the effects of dig and fly. Additionally; Never misses.,60.0,20.0,0,Never misses.,selected-pokemon,grass,grass,6
natural-gift,363,362,100.0,physical,,Power and type depend on the held berry.,,15.0,0,Power and type depend on the held berry.,selected-pokemon,normal,normal,19
worry-seed,388,387,100.0,status,,Changes the target's ability to Insomnia.,,10.0,0,Changes the target's ability to Insomnia.,selected-pokemon,grass,grass,6
seed-bomb,402,401,100.0,physical,,Inflicts regular damage with no additional effect.,80.0,15.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,grass,grass,6
energy-ball,412,411,100.0,special,10.0,Has a 10% chance to lower the target's Special Defense by one stage.,90.0,10.0,0,Has a 10% chance to lower the target's Special Defense by one stage.,selected-pokemon,grass,grass,6
leaf-storm,437,436,90.0,special,100.0,Lowers the user's Special Attack by two stages after inflicting damage.,130.0,5.0,0,Lowers the user's Special Attack by two stages after inflicting damage.,selected-pokemon,grass,grass,6
power-whip,438,437,85.0,physical,,Inflicts regular damage with no additional effect.,120.0,10.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,grass,grass,6
captivate,445,444,100.0,status,,Lowers the target's Special Attack by two stages if it's the opposite gender.,,20.0,0,Lowers the target's Special Attack by two stages if it's the opposite gender.,all-opponents,normal,normal,19
grass-knot,447,446,100.0,special,,"Inflicts more damage to heavier targets, with a maximum of 120 power.",,20.0,0,"Inflicts more damage to heavier targets, with a maximum of 120 power.",selected-pokemon,grass,grass,6
venoshock,474,473,100.0,special,,Inflicts double damage if the target is Poisoned.,65.0,10.0,0,Inflicts double damage if the target is Poisoned.,selected-pokemon,poison,poison,1
acid-spray,491,490,100.0,special,100.0,Lowers the target's Special Defense by two stages.,40.0,20.0,0,Lowers the target's Special Defense by two stages.,selected-pokemon,poison,poison,1
round,496,495,100.0,special,,Has double power if it's used more than once per turn.,60.0,15.0,0,Has double power if it's used more than once per turn.,selected-pokemon,normal,normal,19
echoed-voice,497,496,100.0,special,,"Power increases by 100% for each consecutive use by any friendly Pokémon, to a maximum of 200.",40.0,15.0,0,"Power increases by 100% for each consecutive use by any friendly Pokémon, to a maximum of 200.",selected-pokemon,normal,normal,19
grass-pledge,520,519,100.0,special,,"With Fire Pledge, damages opposing Pokémon for 1/8 their max HP every turn for four turns.",80.0,10.0,0,"With Fire Pledge, damages opposing Pokémon for 1/8 their max HP every turn for four turns.",selected-pokemon,grass,grass,6
work-up,526,525,,status,,Raises the user's Attack and Special Attack by one stage each.,,30.0,0,Raises the user's Attack and Special Attack by one stage each.,user,normal,normal,19
grassy-terrain,580,579,,status,,"For five turns, heals all Pokémon on the ground for 1/16 max HP each turn and strengthens their grass moves to 1.5× their power.",,10.0,0,"For five turns, heals all Pokémon on the ground for 1/16 max HP each turn and strengthens their grass moves to 1.5× their power.",entire-field,grass,grass,6
confide,590,589,,status,100.0,Lowers the target's Special Attack by one stage.,,20.0,0,Lowers the target's Special Attack by one stage.,selected-pokemon,normal,normal,19
grassy-glide,803,784,100.0,physical,,Inflicts regular damage with no additional effect.,55.0,20.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,grass,grass,6
roar,46,45,,status,,Does nothing in trainer battles. Additionally; Immediately ends wild battles.  Forces trainers to switch Pokémon.,,20.0,-6,Immediately ends wild battles.  Forces trainers to switch Pokémon.,selected-pokemon,normal,normal,19
hyper-beam,63,62,90.0,special,,User foregoes its next turn to recharge.,150.0,5.0,0,User foregoes its next turn to recharge.,selected-pokemon,normal,normal,19
earthquake,89,88,100.0,physical,,Does not hit Pokémon under the effects of dig. Additionally; Inflicts regular damage and can hit Dig users.,100.0,10.0,0,Inflicts regular damage and can hit Dig users.,all-other-pokemon,ground,ground,4
scary-face,184,183,100.0,status,,Lowers the target's Speed by two stages.,,10.0,0,Lowers the target's Speed by two stages.,selected-pokemon,normal,normal,19
block,335,334,,status,,Prevents the target from leaving battle.,,5.0,0,Prevents the target from leaving battle.,selected-pokemon,normal,normal,19
frenzy-plant,338,337,90.0,special,,User foregoes its next turn to recharge.,150.0,5.0,0,User foregoes its next turn to recharge.,selected-pokemon,grass,grass,6
poison-jab,398,397,100.0,physical,30.0,Has a 30% chance to poison the target.,80.0,20.0,0,Has a 30% chance to poison the target.,selected-pokemon,poison,poison,1
earth-power,414,413,100.0,special,10.0,Has a 10% chance to lower the target's Special Defense by one stage.,90.0,10.0,0,Has a 10% chance to lower the target's Special Defense by one stage.,selected-pokemon,ground,ground,4
giga-impact,416,415,90.0,physical,,User foregoes its next turn to recharge.,150.0,5.0,0,User foregoes its next turn to recharge.,selected-pokemon,normal,normal,19
rock-climb,431,430,85.0,physical,20.0,Has a 20% chance to confuse the target.,90.0,20.0,0,Has a 20% chance to confuse the target.,selected-pokemon,normal,normal,19
bulldoze,523,522,100.0,physical,100.0,Has a 100% chance to lower the target's Speed by one stage.,60.0,20.0,0,Has a 100% chance to lower the target's Speed by one stage.,all-other-pokemon,ground,ground,4
petal-blizzard,572,571,100.0,physical,,Inflicts regular damage.,90.0,15.0,0,Inflicts regular damage.,all-other-pokemon,grass,grass,6
stomping-tantrum,707,706,100.0,physical,,Has double power if the user's last move failed.,75.0,10.0,0,Has double power if the user's last move failed.,selected-pokemon,ground,ground,4
terrain-pulse,805,786,100.0,special,,Inflicts regular damage with no additional effect.,50.0,10.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,normal,normal,19
mega-punch,5,4,85.0,physical,,Inflicts regular damage with no additional effect.,80.0,20.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,normal,normal,19
fire-punch,7,6,100.0,physical,10.0,Has a 10% chance to burn the target.,75.0,15.0,0,Has a 10% chance to burn the target.,selected-pokemon,fire,fire,14
thunder-punch,9,8,100.0,physical,10.0,Has a 10% chance to paralyze the target.,75.0,15.0,0,Has a 10% chance to paralyze the target.,selected-pokemon,electric,electric,13
scratch,10,9,100.0,physical,,Inflicts regular damage with no additional effect.,40.0,35.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,normal,normal,19
wing-attack,17,16,100.0,physical,,Inflicts regular damage with no additional effect.,60.0,35.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,flying,flying,3
mega-kick,25,24,75.0,physical,,Inflicts regular damage with no additional effect.,120.0,5.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,normal,normal,19
leer,43,42,100.0,status,100.0,Lowers the target's Defense by one stage.,,30.0,0,Lowers the target's Defense by one stage.,all-opponents,normal,normal,19
bite,44,43,100.0,physical,30.0,Has a 30% chance to make the target flinch.,60.0,25.0,0,Has a 30% chance to make the target flinch.,selected-pokemon,dark,dark,16
ember,52,51,100.0,special,10.0,Has a 10% chance to burn the target.,40.0,25.0,0,Has a 10% chance to burn the target.,selected-pokemon,fire,fire,14
flamethrower,53,52,100.0,special,10.0,Has a 10% chance to burn the target.,90.0,15.0,0,Has a 10% chance to burn the target.,selected-pokemon,fire,fire,14
submission,66,65,80.0,physical,,User receives 1/4 the damage it inflicts in recoil.,80.0,20.0,0,User receives 1/4 the damage it inflicts in recoil.,selected-pokemon,fighting,fighting,7
counter,68,67,100.0,physical,,Inflicts twice the damage the user received from the last physical hit it took.,,20.0,-5,Inflicts twice the damage the user received from the last physical hit it took.,specific-move,fighting,fighting,7
seismic-toss,69,68,100.0,physical,,Inflicts damage equal to the user's level.,,20.0,0,Inflicts damage equal to the user's level.,selected-pokemon,fighting,fighting,7
dragon-rage,82,81,100.0,special,,Inflicts 40 points of damage.,,10.0,0,Inflicts 40 points of damage.,selected-pokemon,dragon,dragon,15
fire-spin,83,82,85.0,special,100.0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,35.0,15.0,0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,selected-pokemon,fire,fire,14
dig,91,90,100.0,physical,,"swift can hit the user while underground, and no other moves can.  Due to a bug, if the user fails to carry out the move's second turn, e.g. due to paralysis, it remains underground until it switches out or uses Dig again successfully.  It can act as if it were aboveground in the meantime, but moves still miss it. Additionally; User digs underground, dodging all attacks, and hits next turn.",80.0,10.0,0,"User digs underground, dodging all attacks, and hits next turn.",selected-pokemon,ground,ground,4
smokescreen,108,107,100.0,status,,Lowers the target's accuracy by one stage.,,20.0,0,Lowers the target's accuracy by one stage.,selected-pokemon,normal,normal,19
fire-blast,126,125,85.0,special,10.0,Has a 10% chance to burn the target.,110.0,5.0,0,Has a 10% chance to burn the target.,selected-pokemon,fire,fire,14
swift,129,128,,special,,Hits Pokémon under the effects of dig and fly. Additionally; Never misses.,60.0,20.0,0,Never misses.,all-opponents,normal,normal,19
fury-swipes,154,153,80.0,physical,,Hits 2-5 times in one turn.,18.0,15.0,0,Hits 2-5 times in one turn.,selected-pokemon,normal,normal,19
rock-slide,157,156,90.0,physical,30.0,Has a 30% chance to make the target flinch.,75.0,10.0,0,Has a 30% chance to make the target flinch.,all-opponents,rock,rock,11
slash,163,162,100.0,physical,,Has an increased chance for a critical hit.,70.0,20.0,0,Has an increased chance for a critical hit.,selected-pokemon,normal,normal,19
belly-drum,187,186,,status,,User pays half its max HP to max out its Attack.,,10.0,0,User pays half its max HP to max out its Attack.,user,normal,normal,19
dynamic-punch,223,222,50.0,physical,100.0,Has a 100% chance to confuse the target.,100.0,5.0,0,Has a 100% chance to confuse the target.,selected-pokemon,fighting,fighting,7
dragon-breath,225,224,100.0,special,30.0,Has a 30% chance to paralyze the target.,60.0,20.0,0,Has a 30% chance to paralyze the target.,selected-pokemon,dragon,dragon,15
iron-tail,231,230,75.0,physical,30.0,Has a 30% chance to lower the target's Defense by one stage.,100.0,15.0,0,Has a 30% chance to lower the target's Defense by one stage.,selected-pokemon,steel,steel,9
metal-claw,232,231,95.0,physical,10.0,Has a 10% chance to raise the user's Attack by one stage.,50.0,35.0,0,Has a 10% chance to raise the user's Attack by one stage.,selected-pokemon,steel,steel,9
crunch,242,241,100.0,physical,20.0,Has a 20% chance to lower the target's Defense by one stage.,80.0,15.0,0,Has a 20% chance to lower the target's Defense by one stage.,selected-pokemon,dark,dark,16
ancient-power,246,245,100.0,special,10.0,Has a 10% chance to raise all of the user's stats by one stage.,60.0,5.0,0,Has a 10% chance to raise all of the user's stats by one stage.,selected-pokemon,rock,rock,11
beat-up,251,250,100.0,physical,,Determines damage using each participant's base Attack and the opponent's base Defense in place of calculated stats. Additionally; Hits once for every conscious Pokémon the trainer has.,,10.0,0,Hits once for every conscious Pokémon the trainer has.,selected-pokemon,dark,dark,16
heat-wave,257,256,90.0,special,10.0,Has a 10% chance to burn the target.,95.0,10.0,0,Has a 10% chance to burn the target.,all-opponents,fire,fire,14
will-o-wisp,261,260,85.0,status,,Burns the target.,,15.0,0,Burns the target.,selected-pokemon,fire,fire,14
focus-punch,264,263,100.0,physical,,"If the user takes damage before attacking, the attack is canceled.",150.0,20.0,-3,"If the user takes damage before attacking, the attack is canceled.",selected-pokemon,fighting,fighting,7
brick-break,280,279,100.0,physical,,The barriers are destroyed even if this move has no effect. Additionally; Destroys Reflect and Light Screen.,75.0,15.0,0,Destroys Reflect and Light Screen.,selected-pokemon,fighting,fighting,7
air-cutter,314,313,95.0,special,,Has an increased chance for a critical hit.,60.0,25.0,0,Has an increased chance for a critical hit.,all-opponents,flying,flying,3
overheat,315,314,90.0,special,100.0,Lowers the user's Special Attack by two stages after inflicting damage.,130.0,5.0,0,Lowers the user's Special Attack by two stages after inflicting damage.,selected-pokemon,fire,fire,14
rock-tomb,317,316,95.0,physical,100.0,Has a 100% chance to lower the target's Speed by one stage.,60.0,15.0,0,Has a 100% chance to lower the target's Speed by one stage.,selected-pokemon,rock,rock,11
aerial-ace,332,331,,physical,,Hits Pokémon under the effects of dig and fly. Additionally; Never misses.,60.0,20.0,0,Never misses.,selected-pokemon,flying,flying,3
dragon-claw,337,336,100.0,physical,,Inflicts regular damage with no additional effect.,80.0,15.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,dragon,dragon,15
dragon-dance,349,348,,status,,Raises the user's Attack and Speed by one stage.,,20.0,0,Raises the user's Attack and Speed by one stage.,user,dragon,dragon,15
fling,374,373,100.0,physical,,Throws held item at the target; power depends on the item.,,10.0,0,Throws held item at the target; power depends on the item.,selected-pokemon,dark,dark,16
flare-blitz,394,393,100.0,physical,10.0,User takes 1/3 the damage inflicted in recoil.  Has a 10% chance to burn the target.,120.0,15.0,0,User takes 1/3 the damage inflicted in recoil.  Has a 10% chance to burn the target.,selected-pokemon,fire,fire,14
dragon-pulse,406,405,100.0,special,,Inflicts regular damage with no additional effect.,85.0,10.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,dragon,dragon,15
dragon-rush,407,406,75.0,physical,20.0,Has a 20% chance to make the target flinch.,100.0,10.0,0,Has a 20% chance to make the target flinch.,selected-pokemon,dragon,dragon,15
focus-blast,411,410,70.0,special,10.0,Has a 10% chance to lower the target's Special Defense by one stage.,120.0,5.0,0,Has a 10% chance to lower the target's Special Defense by one stage.,selected-pokemon,fighting,fighting,7
shadow-claw,421,420,100.0,physical,,Has an increased chance for a critical hit.,70.0,15.0,0,Has an increased chance for a critical hit.,selected-pokemon,ghost,ghost,17
fire-fang,424,423,95.0,physical,10.0,Ignores wonder guard. Additionally; Has a 10% chance to burn the target and a 10% chance to make the target flinch.,65.0,15.0,0,Has a 10% chance to burn the target and a 10% chance to make the target flinch.,selected-pokemon,fire,fire,14
hone-claws,468,467,,status,,Raises the user's Attack and accuracy by one stage.,,15.0,0,Raises the user's Attack and accuracy by one stage.,user,dark,dark,16
flame-burst,481,480,100.0,special,,Deals splash damage to Pokémon next to the target.,70.0,15.0,0,Deals splash damage to Pokémon next to the target.,selected-pokemon,fire,fire,14
flame-charge,488,487,100.0,physical,100.0,Inflicts regular damage.  Raises the user's Speed by one stage.,50.0,20.0,0,Inflicts regular damage.  Raises the user's Speed by one stage.,selected-pokemon,fire,fire,14
incinerate,510,509,100.0,special,,Destroys the target's held berry.,60.0,15.0,0,Destroys the target's held berry.,all-opponents,fire,fire,14
acrobatics,512,511,100.0,physical,,Has double power if the user has no held item.,55.0,15.0,0,Has double power if the user has no held item.,selected-pokemon,flying,flying,3
inferno,517,516,50.0,special,100.0,Has a 100% chance to burn the target.,100.0,5.0,0,Has a 100% chance to burn the target.,selected-pokemon,fire,fire,14
fire-pledge,519,518,100.0,special,,"With Water Pledge, doubles the effect chance of friendly Pokémon's moves for four turns.",80.0,10.0,0,"With Water Pledge, doubles the effect chance of friendly Pokémon's moves for four turns.",selected-pokemon,fire,fire,14
dragon-tail,525,524,90.0,physical,,Ends wild battles.  Forces trainers to switch Pokémon.,60.0,10.0,-6,Ends wild battles.  Forces trainers to switch Pokémon.,selected-pokemon,dragon,dragon,15
power-up-punch,612,611,100.0,physical,100.0,Raises the user's Attack by one stage after inflicting damage.,40.0,20.0,0,Raises the user's Attack by one stage after inflicting damage.,selected-pokemon,fighting,fighting,7
breaking-swipe,784,769,100.0,physical,100.0,Lowers the target's Attack by one stage after inflicting damage.,60.0,15.0,0,Lowers the target's Attack by one stage after inflicting damage.,all-opponents,dragon,dragon,15
fly,19,18,95.0,physical,,"swift can hit the user while in the air, and no other moves can.  Due to a bug, if the user fails to carry out the move's second turn, e.g. due to paralysis, it remains in the air until it switches out or uses Fly again successfully.  It can act as if it were on the ground in the meantime, but moves still miss it. Additionally; User flies high into the air, dodging all attacks, and hits next turn.",90.0,15.0,0,"User flies high into the air, dodging all attacks, and hits next turn.",selected-pokemon,flying,flying,3
fissure,90,89,30.0,physical,,Causes a one-hit KO.,,5.0,0,Causes a one-hit KO.,selected-pokemon,ground,ground,4
sandstorm,201,200,,status,,Changes the weather to a sandstorm for five turns.,,10.0,0,Changes the weather to a sandstorm for five turns.,entire-field,rock,rock,11
steel-wing,211,210,90.0,physical,10.0,Has a 10% chance to raise the user's Defense by one stage.,70.0,25.0,0,Has a 10% chance to raise the user's Defense by one stage.,selected-pokemon,steel,steel,9
twister,239,238,100.0,special,20.0,Has a 20% chance to make the target flinch.,40.0,20.0,0,Has a 20% chance to make the target flinch.,all-opponents,dragon,dragon,15
blaze-kick,299,298,90.0,physical,10.0,Has an increased chance for a critical hit and a 10% chance to burn the target.,85.0,10.0,0,Has an increased chance for a critical hit and a 10% chance to burn the target.,selected-pokemon,fire,fire,14
blast-burn,307,306,90.0,special,,User foregoes its next turn to recharge.,150.0,5.0,0,User foregoes its next turn to recharge.,selected-pokemon,fire,fire,14
roost,355,354,,status,,Heals the user by half its max HP.,,5.0,0,Heals the user by half its max HP.,user,flying,flying,3
tailwind,366,365,,status,,"For three turns, friendly Pokémon have doubled Speed.",,15.0,0,"For three turns, friendly Pokémon have doubled Speed.",users-field,flying,flying,3
air-slash,403,402,95.0,special,30.0,Has a 30% chance to make the target flinch.,75.0,15.0,0,Has a 30% chance to make the target flinch.,selected-pokemon,flying,flying,3
