learn_method,level_learned_at,move_id,pokemon_id
machine,0,447,3
machine,0,474,3
machine,0,491,3
machine,0,496,3
machine,0,497,3
tutor,0,520,3
machine,0,523,3
machine,0,526,3
level-up,50,572,3
machine,0,580,3
machine,0,590,3
tutor,0,707,3
tutor,0,803,3
tutor,0,805,3
machine,0,851,3
machine,0,885,3
machine,0,5,4
machine,0,7,4
tutor,0,9,4
level-up,1,10,4
machine,0,14,4
machine,0,15,4
egg,0,17,4
machine,0,25,4
machine,0,29,4
machine,0,34,4
machine,0,36,4
machine,0,38,4
level-up,15,43,4
egg,0,44,4
level-up,1,45,4
machine,0,46,4
level-up,9,52,4
level-up,38,53,4
machine,0,66,4
machine,0,68,4
machine,0,69,4
machine,0,70,4
machine,0,82,4
level-up,46,83,4
machine,0,91,4
machine,0,92,4
level-up,22,99,4
machine,0,102,4
machine,0,104,4
level-up,13,108,4
machine,0,111,4
machine,0,115,4
machine,0,117,4
machine,0,126,4
machine,0,129,4
machine,0,130,4
level-up,18,154,4
machine,0,156,4
egg,0,157,4
level-up,30,163,4
machine,0,164,4
machine,0,173,4
machine,0,174,4
machine,0,182,4
level-up,25,184,4
egg,0,187,4
machine,0,189,4
egg,0,200,4
machine,0,203,4
machine,0,206,4
machine,0,207,4
machine,0,210,4
machine,0,213,4
machine,0,214,4
machine,0,216,4
machine,0,218,4
machine,0,223,4
machine,0,225,4
machine,0,231,4
level-up,13,232,4
machine,0,237,4
machine,0,241,4
egg,0,242,4
egg,0,246,4
machine,0,249,4
egg,0,251,4
tutor,0,257,4
machine,0,261,4
machine,0,263,4
machine,0,264,4
machine,0,270,4
machine,0,280,4
machine,0,290,4
machine,0,311,4
egg,0,314,4
machine,0,315,4
machine,0,317,4
machine,0,332,4
machine,0,337,4
egg,0,349,4
machine,0,363,4
machine,0,374,4
egg,0,394,4
egg,0,406,4
egg,0,407,4
machine,0,411,4
machine,0,421,4
level-up,25,424,4
machine,0,445,4
machine,0,468,4
level-up,28,481,4
machine,0,488,4
machine,0,496,4
machine,0,497,4
machine,0,510,4
machine,0,512,4
level-up,46,517,4
tutor,0,519,4
egg,0,525,4
machine,0,526,4
machine,0,590,4
machine,0,612,4
machine,0,784,4
machine,0,851,4
machine,0,915,4
machine,0,5,5
machine,0,7,5
tutor,0,9,5
level-up,1,10,5
machine,0,14,5
machine,0,15,5
machine,0,25,5
machine,0,29,5
machine,0,34,5
machine,0,36,5
machine,0,38,5
level-up,15,43,5
egg,0,44,5
level-up,1,45,5
machine,0,46,5
level-up,1,52,5
level-up,42,53,5
machine,0,66,5
machine,0,68,5
machine,0,69,5
machine,0,70,5
machine,0,82,5
level-up,56,83,5
machine,0,91,5
machine,0,92,5
level-up,24,99,5
machine,0,102,5
machine,0,104,5
level-up,13,108,5
machine,0,111,5
machine,0,115,5
machine,0,117,5
machine,0,126,5
machine,0,129,5
machine,0,130,5
level-up,20,154,5
machine,0,156,5
tutor,0,157,5
level-up,33,163,5
machine,0,164,5
machine,0,173,5
machine,0,174,5
machine,0,182,5
level-up,27,184,5
egg,0,187,5
machine,0,189,5
tutor,0,200,5
machine,0,203,5
machine,0,206,5
machine,0,207,5
machine,0,210,5
machine,0,213,5
machine,0,214,5
machine,0,216,5
machine,0,218,5
machine,0,223,5
machine,0,225,5
machine,0,231,5
level-up,13,232,5
machine,0,237,5
machine,0,241,5
machine,0,242,5
egg,0,246,5
machine,0,249,5
machine,0,251,5
tutor,0,257,5
machine,0,261,5
machine,0,263,5
machine,0,264,5
machine,0,270,5
machine,0,280,5
machine,0,290,5
machine,0,311,5
machine,0,315,5
machine,0,317,5
machine,0,332,5
machine,0,337,5
machine,0,349,5
machine,0,363,5
machine,0,374,5
level-up,54,394,5
tutor,0,406,5
egg,0,407,5
machine,0,411,5
machine,0,421,5
level-up,28,424,5
machine,0,445,5
machine,0,468,5
level-up,32,481,5
machine,0,488,5
machine,0,496,5
machine,0,497,5
machine,0,510,5
machine,0,512,5
level-up,54,517,5
tutor,0,519,5
machine,0,525,5
machine,0,526,5
machine,0,590,5
machine,0,612,5
machine,0,784,5
machine,0,851,5
machine,0,915,5
machine,0,5,6
machine,0,7,6
tutor,0,9,6
level-up,1,10,6
machine,0,14,6
machine,0,15,6
level-up,36,17,6
machine,0,19,6
machine,0,25,6
machine,0,29,6
machine,0,34,6
machine,0,36,6
machine,0,38,6
level-up,1,43,6
egg,0,44,6
level-up,1,45,6
machine,0,46,6
level-up,1,52,6
level-up,46,53,6
machine,0,63,6
machine,0,66,6
machine,0,68,6
machine,0,69,6
machine,0,70,6
machine,0,76,6
machine,0,82,6
level-up,55,83,6
machine,0,89,6
machine,0,90,6
machine,0,91,6
machine,0,92,6
level-up,24,99,6
machine,0,102,6
machine,0,104,6
level-up,1,108,6
machine,0,111,6
machine,0,115,6
machine,0,117,6
machine,0,126,6
machine,0,129,6
machine,0,130,6
level-up,20,154,6
machine,0,156,6
tutor,0,157,6
level-up,36,163,6
machine,0,164,6
machine,0,173,6
machine,0,174,6
machine,0,182,6
level-up,27,184,6
egg,0,187,6
machine,0,189,6
tutor,0,200,6
machine,0,201,6
machine,0,203,6
machine,0,206,6
machine,0,207,6
machine,0,210,6
machine,0,211,6
machine,0,213,6
machine,0,214,6
machine,0,216,6
machine,0,218,6
machine,0,223,6
machine,0,225,6
machine,0,231,6
level-up,1,232,6
machine,0,237,6
tutor,0,239,6
machine,0,241,6
level-up,1,242,6
egg,0,246,6
machine,0,249,6
machine,0,251,6
level-up,1,257,6
machine,0,261,6
machine,0,263,6
machine,0,264,6
machine,0,270,6
machine,0,280,6
machine,0,290,6
machine,0,299,6
tutor,0,307,6
machine,0,311,6
tutor,0,314,6
machine,0,315,6
machine,0,317,6
machine,0,332,6
machine,0,337,6
machine,0,349,6
machine,0,355,6
machine,0,363,6
tutor,0,366,6
machine,0,374,6
level-up,66,394,6
level-up,1,403,6
machine,0,406,6
egg,0,407,6
machine,0,411,6
machine,0,416,6
level-up,1,421,6
level-up,28,424,6
machine,0,432,6
machine,0,445,6
tutor,0,466,6
machine,0,468,6
level-up,32,481,6
machine,0,488,6
machine,0,496,6
machine,0,497,6
machine,0,507,6
machine,0,510,6
machine,0,512,6
level-up,62,517,6
tutor,0,519,6
machine,0,523,6
machine,0,525,6
machine,0,526,6
machine,0,535,6
machine,0,542,6
machine,0,590,6
machine,0,595,6
machine,0,612,6
machine,0,693,6
machine,0,784,6
tutor,0,799,6
tutor,0,814,6
tutor,0,815,6
machine,0,851,6
machine,0,913,6
machine,0,915,6
machine,0,5,7
machine,0,8,7
machine,0,25,7
machine,0,29,7
level-up,1,33,7
machine,0,34,7
machine,0,36,7
machine,0,38,7
level-up,1,39,7
level-up,22,44,7
egg,0,54,7
level-up,15,55,7
level-up,42,56,7
machine,0,57,7
machine,0,58,7
machine,0,59,7
machine,0,61,7
machine,0,66,7
machine,0,68,7
machine,0,69,7
machine,0,70,7
machine,0,91,7
machine,0,92,7
egg,0,93,7
machine,0,99,7
machine,0,102,7
machine,0,104,7
level-up,28,110,7
machine,0,111,7
egg,0,114,7
machine,0,115,7
machine,0,117,7
machine,0,127,7
level-up,35,130,7
level-up,8,145,7
machine,0,156,7
machine,0,157,7
machine,0,164,7
machine,0,173,7
machine,0,174,7
egg,0,175,7
level-up,28,182,7
machine,0,189,7
egg,0,193,7
machine,0,196,7
machine,0,200,7
machine,0,203,7
machine,0,205,7
machine,0,206,7
machine,0,207,7
machine,0,213,7
machine,0,214,7
machine,0,216,7
machine,0,218,7
machine,0,223,7
level-up,23,229,7
machine,0,231,7
machine,0,237,7
level-up,33,240,7
egg,0,243,7
machine,0,249,7
machine,0,250,7
egg,0,252,7
machine,0,258,7
machine,0,263,7
machine,0,264,7
level-up,0,266,7
machine,0,270,7
machine,0,280,7
egg,0,281,7
egg,0,287,7
machine,0,290,7
machine,0,291,7
egg,0,300,7
machine,0,311,7
machine,0,317,7
egg,0,323,7
egg,0,330,7
level-up,34,334,7
machine,0,341,7
machine,0,352,7
machine,0,360,7
machine,0,362,7
machine,0,363,7
machine,0,374,7
egg,0,392,7
egg,0,396,7
level-up,28,401,7
egg,0,406,7
tutor,0,428,7
machine,0,445,7
egg,0,453,7
machine,0,496,7
machine,0,503,7
level-up,27,504,7
tutor,0,518,7
machine,0,526,7
machine,0,590,7
machine,0,612,7
machine,0,710,7
egg,0,791,7
tutor,0,812,7
level-up,36,834,7
machine,0,851,7
machine,0,861,7
machine,0,886,7
machine,0,5,8
machine,0,8,8
machine,0,25,8
machine,0,29,8
level-up,1,33,8
machine,0,34,8
machine,0,36,8
machine,0,38,8
level-up,1,39,8
level-up,24,44,8
egg,0,54,8
level-up,15,55,8
level-up,47,56,8
machine,0,57,8
machine,0,58,8
machine,0,59,8
machine,0,61,8
machine,0,66,8
machine,0,68,8
machine,0,69,8
machine,0,70,8
machine,0,91,8
machine,0,92,8
machine,0,99,8
machine,0,102,8
machine,0,104,8
level-up,31,110,8
machine,0,111,8
machine,0,114,8
machine,0,115,8
machine,0,117,8
machine,0,127,8
level-up,39,130,8
level-up,1,145,8
machine,0,156,8
machine,0,157,8
machine,0,164,8
machine,0,173,8
machine,0,174,8
egg,0,175,8
level-up,31,182,8
machine,0,189,8
machine,0,196,8
machine,0,200,8
machine,0,203,8
machine,0,205,8
machine,0,206,8
machine,0,207,8
machine,0,213,8
machine,0,214,8
machine,0,216,8
machine,0,218,8
machine,0,223,8
level-up,25,229,8
machine,0,231,8
machine,0,237,8
level-up,37,240,8
egg,0,243,8
machine,0,249,8
machine,0,250,8
egg,0,252,8
machine,0,258,8
machine,0,263,8
machine,0,264,8
machine,0,270,8
machine,0,280,8
egg,0,281,8
machine,0,290,8
machine,0,291,8
machine,0,311,8
machine,0,317,8
egg,0,323,8
machine,0,330,8
level-up,40,334,8
machine,0,341,8
machine,0,352,8
machine,0,360,8
machine,0,362,8
machine,0,363,8
machine,0,374,8
egg,0,392,8
machine,0,396,8
level-up,32,401,8
tutor,0,406,8
tutor,0,428,8
machine,0,445,8
egg,0,453,8
machine,0,496,8
machine,0,503,8
level-up,35,504,8
tutor,0,518,8
machine,0,526,8
machine,0,590,8
machine,0,612,8
machine,0,710,8
egg,0,791,8
tutor,0,812,8
level-up,50,834,8
machine,0,851,8
machine,0,861,8
machine,0,886,8
machine,0,5,9
machine,0,8,9
machine,0,25,9
machine,0,29,9
level-up,1,33,9
machine,0,34,9
machine,0,36,9
machine,0,38,9
level-up,1,39,9
level-up,24,44,9
machine,0,46,9
egg,0,54,9
level-up,1,55,9
level-up,52,56,9
machine,0,57,9
machine,0,58,9
machine,0,59,9
machine,0,61,9
machine,0,63,9
machine,0,66,9
machine,0,68,9
machine,0,69,9
machine,0,70,9
machine,0,89,9
machine,0,90,9
machine,0,91,9
machine,0,92,9
machine,0,99,9
machine,0,102,9
machine,0,104,9
level-up,31,110,9
machine,0,111,9
machine,0,114,9
machine,0,115,9
machine,0,117,9
machine,0,127,9
level-up,42,130,9
level-up,1,145,9
machine,0,156,9
machine,0,157,9
machine,0,164,9
machine,0,173,9
machine,0,174,9
egg,0,175,9
level-up,31,182,9
machine,0,184,9
machine,0,189,9
machine,0,196,9
tutor,0,200,9
machine,0,203,9
machine,0,205,9
machine,0,206,9
machine,0,207,9
machine,0,213,9
machine,0,214,9
machine,0,216,9
machine,0,218,9
machine,0,223,9
level-up,25,229,9
machine,0,231,9
machine,0,237,9
level-up,42,240,9
machine,0,242,9
egg,0,243,9
machine,0,249,9
machine,0,250,9
level-up,1,252,9
machine,0,258,9
machine,0,263,9
machine,0,264,9
machine,0,270,9
machine,0,280,9
egg,0,281,9
machine,0,290,9
machine,0,291,9
tutor,0,308,9
machine,0,311,9
machine,0,317,9
egg,0,323,9
tutor,0,324,9
machine,0,330,9
level-up,46,334,9
machine,0,341,9
machine,0,352,9
machine,0,360,9
machine,0,362,9
machine,0,363,9
machine,0,374,9
egg,0,392,9
machine,0,396,9
machine,0,399,9
level-up,32,401,9
tutor,0,406,9
machine,0,411,9
machine,0,416,9
machine,0,419,9
tutor,0,428,9
level-up,1,430,9
machine,0,431,9
machine,0,445,9
level-up,1,453,9
machine,0,479,9
machine,0,496,9
machine,0,503,9
level-up,35,504,9
tutor,0,518,9
machine,0,523,9
machine,0,525,9
machine,0,526,9
machine,0,590,9
machine,0,612,9
tutor,0,710,9
machine,0,776,9
egg,0,791,9
tutor,0,805,9
tutor,0,812,9
level-up,56,834,9
machine,0,851,9
machine,0,861,9
machine,0,886,9
level-up,1,33,10
level-up,1,81,10
tutor,0,173,10
level-up,15,450,10
tutor,0,527,10
tutor,0,81,11
level-up,1,106,11
tutor,0,334,11
tutor,0,450,11
tutor,0,527,11
machine,0,13,12
level-up,28,16,12
level-up,26,18,12
machine,0,29,12
level-up,1,33,12
machine,0,36,12
machine,0,38,12
level-up,21,48,12
level-up,32,60,12
machine,0,63,12
machine,0,72,12
machine,0,76,12
level-up,15,77,12
level-up,16,78,12
level-up,17,79,12
tutor,0,81,12
machine,0,92,12
level-up,1,93,12
machine,0,94,12
machine,0,99,12
machine,0,100,12
machine,0,102,12
machine,0,104,12
level-up,1,106,12
machine,0,115,12
machine,0,117,12
machine,0,129,12
tutor,0,138,12
machine,0,148,12
machine,0,149,12
machine,0,156,12
machine,0,164,12
machine,0,168,12
machine,0,171,12
machine,0,173,12
machine,0,174,12
machine,0,182,12
machine,0,202,12
machine,0,203,12
machine,0,207,12
machine,0,213,12
machine,0,214,12
machine,0,216,12
machine,0,218,12
level-up,40,219,12
machine,0,226,12
machine,0,230,12
machine,0,237,12
tutor,0,239,12
machine,0,240,12
machine,0,241,12
machine,0,244,12
machine,0,247,12
machine,0,263,12
machine,0,285,12
machine,0,290,12
tutor,0,314,12
level-up,47,318,12
tutor,0,324,12
machine,0,332,12
machine,0,334,12
machine,0,355,12
machine,0,363,12
level-up,30,366,12
machine,0,369,12
level-up,43,403,12
level-up,40,405,12
machine,0,412,12
machine,0,416,12
machine,0,432,12
level-up,36,445,12
tutor,0,450,12
tutor,0,466,12
machine,0,474,12
level-up,34,476,12
level-up,46,483,12
machine,0,496,12
machine,0,512,12
machine,0,522,12
tutor,0,527,12
machine,0,542,12
machine,0,577,12
machine,0,590,12
machine,0,611,12
machine,0,676,12
tutor,0,814,12
level-up,1,40,13
level-up,1,81,13
level-up,15,450,13
tutor,0,527,13
tutor,0,81,14
level-up,1,106,14
tutor,0,334,14
tutor,0,450,14
tutor,0,527,14
machine,0,14,15
machine,0,15,15
machine,0,29,15
level-up,1,31,15
machine,0,36,15
machine,0,38,15
level-up,1,40,15
level-up,20,41,15
level-up,30,42,15
machine,0,63,15
level-up,1,64,15
machine,0,72,15
machine,0,76,15
tutor,0,81,15
machine,0,92,15
level-up,35,97,15
level-up,25,99,15
machine,0,102,15
machine,0,104,15
level-up,1,106,15
machine,0,115,15
level-up,16,116,15
machine,0,117,15
machine,0,129,15
machine,0,130,15
machine,0,148,15
machine,0,156,15
machine,0,164,15
machine,0,168,15
machine,0,173,15
machine,0,174,15
machine,0,182,15
machine,0,188,15
level-up,31,200,15
machine,0,202,15
machine,0,203,15
machine,0,206,15
machine,0,207,15
machine,0,210,15
machine,0,213,15
machine,0,214,15
machine,0,216,15
machine,0,218,15
level-up,30,228,15
machine,0,230,15
machine,0,237,15
machine,0,241,15
machine,0,249,15
machine,0,263,15
machine,0,280,15
tutor,0,282,15
level-up,45,283,15
machine,0,290,15
tutor,0,314,15
machine,0,318,15
machine,0,332,15
machine,0,355,15
machine,0,363,15
tutor,0,366,15
machine,0,369,15
machine,0,371,15
level-up,34,372,15
level-up,25,390,15
level-up,37,398,15
machine,0,404,15
machine,0,416,15
machine,0,432,15
machine,0,445,15
tutor,0,450,15
tutor,0,466,15
machine,0,474,15
machine,0,496,15
machine,0,512,15
machine,0,522,15
tutor,0,527,15
tutor,0,529,15
level-up,45,565,15
machine,0,590,15
machine,0,611,15
tutor,0,673,15
tutor,0,675,15
machine,0,693,15
machine,0,13,16
level-up,1,16,16
level-up,28,17,16
level-up,19,18,16
machine,0,19,16
level-up,5,28,16
machine,0,29,16
level-up,1,33,16
machine,0,36,16
machine,0,38,16
machine,0,92,16
level-up,36,97,16
level-up,12,98,16
machine,0,99,16
machine,0,102,16
machine,0,104,16
machine,0,115,16
machine,0,117,16
level-up,44,119,16
machine,0,129,16
machine,0,143,16
machine,0,156,16
machine,0,164,16
machine,0,168,16
machine,0,173,16
machine,0,174,16
machine,0,182,16
egg,0,185,16
machine,0,189,16
egg,0,193,16
machine,0,197,16
machine,0,203,16
machine,0,207,16
egg,0,211,16
machine,0,213,16
machine,0,214,16
machine,0,216,16
machine,0,218,16
egg,0,228,16
machine,0,237,16
level-up,21,239,16
machine,0,240,16
machine,0,241,16
egg,0,253,16
tutor,0,257,16
machine,0,263,16
machine,0,290,16
level-up,31,297,16
egg,0,314,16
machine,0,332,16
level-up,37,355,16
machine,0,363,16
machine,0,365,16
level-up,41,366,16
machine,0,369,16
level-up,49,403,16
egg,0,413,16
machine,0,432,16
machine,0,445,16
tutor,0,466,16
machine,0,496,16
machine,0,526,16
level-up,53,542,16
machine,0,590,16
machine,0,13,17
level-up,1,16,17
level-up,31,17,17
level-up,21,18,17
machine,0,19,17
level-up,1,28,17
machine,0,29,17
level-up,1,33,17
machine,0,36,17
machine,0,38,17
machine,0,92,17
level-up,40,97,17
level-up,12,98,17
machine,0,99,17
machine,0,102,17
machine,0,104,17
machine,0,115,17
machine,0,117,17
level-up,49,119,17
machine,0,129,17
machine,0,143,17
machine,0,156,17
machine,0,164,17
machine,0,168,17
machine,0,173,17
machine,0,174,17
machine,0,182,17
machine,0,189,17
machine,0,197,17
machine,0,203,17
machine,0,207,17
machine,0,211,17
machine,0,213,17
machine,0,214,17
machine,0,216,17
machine,0,218,17
machine,0,237,17
level-up,22,239,17
machine,0,240,17
machine,0,241,17
tutor,0,253,17
tutor,0,257,17
machine,0,263,17
machine,0,290,17
level-up,34,297,17
tutor,0,314,17
machine,0,332,17
level-up,42,355,17
machine,0,363,17
machine,0,365,17
level-up,47,366,17
machine,0,369,17
level-up,57,403,17
machine,0,432,17
machine,0,445,17
tutor,0,466,17
machine,0,496,17
machine,0,526,17
level-up,62,542,17
machine,0,590,17
machine,0,13,18
level-up,1,16,18
level-up,31,17,18
level-up,21,18,18
machine,0,19,18
level-up,1,28,18
machine,0,29,18
level-up,1,33,18
machine,0,36,18
machine,0,38,18
machine,0,63,18
machine,0,92,18
level-up,44,97,18
level-up,1,98,18
machine,0,99,18
machine,0,102,18
machine,0,104,18
machine,0,115,18
machine,0,117,18
level-up,54,119,18
machine,0,129,18
machine,0,143,18
machine,0,156,18
machine,0,164,18
machine,0,168,18
machine,0,173,18
machine,0,174,18
machine,0,182,18
machine,0,189,18
machine,0,197,18
machine,0,203,18
machine,0,207,18
machine,0,211,18
machine,0,213,18
machine,0,214,18
machine,0,216,18
machine,0,218,18
machine,0,237,18
level-up,22,239,18
machine,0,240,18
machine,0,241,18
tutor,0,253,18
tutor,0,257,18
machine,0,263,18
machine,0,290,18
level-up,34,297,18
tutor,0,314,18
machine,0,332,18
level-up,44,355,18
machine,0,363,18
machine,0,365,18
level-up,50,366,18
machine,0,369,18
level-up,62,403,18
machine,0,416,18
machine,0,432,18
machine,0,445,18
tutor,0,466,18
machine,0,496,18
machine,0,526,18
level-up,68,542,18
machine,0,590,18
tutor,0,673,18
machine,0,15,19
machine,0,29,19
level-up,1,33,19
machine,0,34,19
machine,0,36,19
machine,0,38,19
level-up,1,39,19
egg,0,44,19
machine,0,55,19
machine,0,58,19
machine,0,59,19
machine,0,61,19
egg,0,68,19
machine,0,85,19
tutor,0,86,19
machine,0,87,19
machine,0,91,19
machine,0,92,19
level-up,7,98,19
machine,0,99,19
machine,0,102,19
egg,0,103,19
machine,0,104,19
machine,0,111,19
level-up,23,116,19
machine,0,117,19
machine,0,129,19
machine,0,130,19
egg,0,154,19
machine,0,156,19
level-up,14,158,19
level-up,34,162,19
machine,0,164,19
machine,0,168,19
egg,0,172,19
machine,0,173,19
machine,0,174,19
egg,0,179,19
machine,0,182,19
machine,0,188,19
machine,0,189,19
machine,0,196,19
machine,0,203,19
machine,0,207,19
machine,0,213,19
machine,0,214,19
machine,0,216,19
machine,0,218,19
level-up,27,228,19
machine,0,231,19
machine,0,237,19
machine,0,240,19
machine,0,241,19
level-up,22,242,19
machine,0,247,19
machine,0,249,19
egg,0,253,19
machine,0,263,19
machine,0,269,19
egg,0,279,19
level-up,41,283,19
machine,0,290,19
tutor,0,343,19
machine,0,351,19
machine,0,363,19
machine,0,365,19
machine,0,369,19
level-up,25,372,19
egg,0,382,19
egg,0,387,19
level-up,19,389,19
tutor,0,428,19
machine,0,445,19
machine,0,447,19
machine,0,451,19
machine,0,496,19
machine,0,514,19
egg,0,515,19
machine,0,526,19
machine,0,528,19
machine,0,590,19
level-up,13,673,19
level-up,1,14,20
machine,0,15,20
machine,0,29,20
level-up,1,33,20
machine,0,34,20
machine,0,36,20
machine,0,38,20
level-up,1,39,20
level-up,10,44,20
machine,0,46,20
machine,0,55,20
machine,0,58,20
machine,0,59,20
machine,0,61,20
machine,0,63,20
tutor,0,68,20
machine,0,70,20
machine,0,85,20
tutor,0,86,20
machine,0,87,20
machine,0,91,20
machine,0,92,20
level-up,1,98,20
machine,0,99,20
machine,0,102,20
machine,0,104,20
machine,0,111,20
level-up,27,116,20
machine,0,117,20
machine,0,129,20
machine,0,130,20
level-up,1,154,20
machine,0,156,20
level-up,14,158,20
level-up,41,162,20
machine,0,164,20
machine,0,168,20
machine,0,173,20
machine,0,174,20
machine,0,182,20
level-up,20,184,20
machine,0,188,20
machine,0,189,20
machine,0,196,20
machine,0,203,20
machine,0,207,20
machine,0,213,20
machine,0,214,20
machine,0,216,20
machine,0,218,20
level-up,30,228,20
machine,0,231,20
machine,0,237,20
machine,0,240,20
machine,0,241,20
level-up,24,242,20
machine,0,247,20
machine,0,249,20
tutor,0,253,20
machine,0,263,20
machine,0,269,20
level-up,50,283,20
machine,0,290,20
tutor,0,343,20
machine,0,351,20
machine,0,363,20
machine,0,365,20
machine,0,369,20
level-up,29,372,20
tutor,0,387,20
level-up,19,389,20
machine,0,416,20
tutor,0,428,20
machine,0,445,20
machine,0,447,20
machine,0,451,20
machine,0,496,20
machine,0,514,20
machine,0,526,20
machine,0,528,20
machine,0,590,20
level-up,13,673,20
tutor,0,675,20
tutor,0,707,20
machine,0,13,21
level-up,18,17,21
machine,0,18,21
machine,0,19,21
machine,0,29,21
level-up,15,31,21
machine,0,36,21
machine,0,38,21
level-up,9,43,21
level-up,1,45,21
level-up,1,64,21
level-up,29,65,21
machine,0,92,21
level-up,36,97,21
egg,0,98,21
machine,0,99,21
machine,0,102,21
machine,0,104,21
level-up,29,116,21
machine,0,117,21
level-up,22,119,21
machine,0,129,21
machine,0,143,21
machine,0,156,21
egg,0,161,21
machine,0,164,21
machine,0,168,21
machine,0,173,21
machine,0,174,21
machine,0,182,21
egg,0,184,21
egg,0,185,21
machine,0,189,21
machine,0,197,21
machine,0,203,21
egg,0,206,21
machine,0,207,21
